problem,instance,cost,dist,time,events,skipped
TWr_C_7,7,10101440.68,1440.68,15.83,86,72
TWdf_R_7,1,2615.60,2615.60,4.73,151,123
TWdf_RC_3,1,2098.04,2098.04,2.71,115,97
TWr_C_3,5,50501503.53,1503.53,32.87,100,90
TWr_R_3,10,20201353.37,1353.37,30.17,129,114
TWdf_RC_5,5,40402655.82,2655.82,2.93,139,117
TWr_RC_4,3,20201117.55,1117.55,11.94,68,57
TWdf_R_7,3,30301807.25,1807.25,1.98,103,85
TWh_C_5,6,1327.20,1327.20,18.98,78,69
TWh_R_4,6,10101288.33,1288.33,12.06,90,77
TWr_R_1,1,10101175.65,1175.65,22.63,98,85
TWr_R_8,3,10101373.38,1373.38,15.01,93,80
TWr_C_6,5,20201264.69,1264.69,21.93,115,104
TWdf_R_3,6,2223.53,2223.53,3.82,142,120
TWdf_R_3,2,10102213.26,2213.26,4.22,139,119
TWh_RC_9,4,1264.57,1264.57,26.30,100,82
TWr_R_6,4,10101217.54,1217.54,19.08,79,69
TWr_RC_7,6,20201392.93,1392.93,21.33,120,108
TWdf_R_8,1,20202328.00,2328.00,5.25,165,143
TWr_R_5,6,30301509.26,1509.26,28.79,96,83
TWh_R_7,2,30301565.93,1565.93,26.99,100,85
TWh_R_6,9,1335.69,1335.69,23.01,104,93
TWh_RC_2,5,20201440.92,1440.92,15.75,91,74
TWr_R_5,5,1421.17,1421.17,27.88,109,94
TWr_C_8,3,30301394.82,1394.82,22.87,94,80
TWr_RC_3,4,30301573.70,1573.70,22.67,114,104
TWh_R_7,3,30301023.96,1023.96,6.94,86,75
TWh_R_2,6,10101600.00,1600.00,22.52,91,77
TWh_RC_2,8,1124.31,1124.31,8.92,66,58
TWh_C_3,2,60601735.06,1735.06,23.98,132,114
TWdf_RC_1,7,2581.50,2581.50,3.64,154,133
TWdf_RC_6,2,20201931.64,1931.64,3.77,143,120
TWh_RC_3,9,10101290.00,1290.00,15.27,89,78
TWdf_R_9,8,20202479.90,2479.90,4.50,153,131
TWr_R_9,5,20201416.91,1416.91,14.75,105,90
TWh_RC_6,1,10101351.34,1351.34,32.93,95,82
TWr_RC_6,1,10101474.03,1474.03,21.87,117,100
TWh_R_7,7,20201672.09,1672.09,22.57,134,119
TWr_C_4,1,10101351.42,1351.42,11.92,101,87
TWr_RC_7,8,10101807.96,1807.96,26.21,113,94
TWdf_R_6,5,20201717.85,1717.85,3.23,132,113
TWh_C_8,1,10101422.59,1422.59,12.10,90,80
TWh_RC_9,6,1246.30,1246.30,12.75,98,84
TWr_R_2,10,20201645.71,1645.71,18.89,103,92
TWdf_C_3,7,20202667.53,2667.53,3.40,132,112
TWr_RC_1,1,20201614.00,1614.00,18.66,117,101
TWdf_RC_1,5,30302331.00,2331.00,3.13,114,94
TWh_RC_3,4,40401376.09,1376.09,20.37,84,73
TWr_R_2,4,10101753.33,1753.33,34.33,125,107
TWdf_R_6,4,10102156.31,2156.31,4.79,144,125
TWh_C_5,8,20201715.66,1715.66,36.16,112,96
TWr_RC_1,9,1705.50,1705.50,14.15,85,73
TWr_C_1,1,10101483.20,1483.20,19.21,110,98
TWr_C_7,5,10101441.36,1441.36,15.16,71,59
TWr_C_1,6,1465.60,1465.60,16.09,92,78
TWdf_C_4,5,20202647.21,2647.21,3.89,145,118
TWr_R_9,7,10101674.23,1674.23,23.14,102,88
TWdf_R_6,10,10102115.69,2115.69,5.81,155,135
TWh_RC_4,10,1002.30,1002.30,11.35,70,59
TWr_R_6,6,1276.62,1276.62,19.73,81,68
TWh_C_4,5,20201472.96,1472.96,19.95,104,89
TWh_R_3,6,1320.64,1320.64,17.87,83,72
