problem_type,problem_number,instance,cost,dist,time,events,skipped
TWh_C,1,9,1163.20,1163.20,29.90,116,107
TWdf_R,4,2,10102429.17,2429.17,7.30,153,124
TWdf_RC,8,5,10101928.33,1928.33,10.09,143,117
TWdf_R,2,3,10102582.86,2582.86,6.23,141,111
TWr_RC,8,6,10101117.92,1117.92,36.81,89,75
TWh_R,8,8,20201247.59,1247.59,49.74,100,87
TWr_C,5,8,20201386.51,1386.51,38.85,113,101
TWdf_R,5,7,10101595.74,1595.74,4.41,127,103
TWh_RC,2,9,10101205.54,1205.54,29.47,85,74
TWh_C,2,4,10101321.83,1321.83,33.04,93,80
TWh_RC,1,10,10101306.50,1306.50,53.04,85,76
TWdf_RC,8,7,2103.75,2103.75,5.19,127,101
TWh_RC,1,6,50501725.00,1725.00,44.50,107,87
TWh_R,9,5,20201156.86,1156.86,41.31,96,83
TWr_C,3,4,20201482.35,1482.35,23.08,86,73
TWdf_C,8,8,40402343.06,2343.06,7.61,131,104
TWh_R,1,8,1040.00,1040.00,43.12,74,63
TWdf_RC,9,10,1521.89,1521.89,5.43,139,118
TWdf_RC,3,4,10102572.17,2572.17,8.15,176,147
TWh_R,4,3,10101340.83,1340.83,71.86,87,73
TWh_C,2,9,20201732.21,1732.21,61.06,118,101
TWdf_R,5,1,1744.79,1744.79,4.87,127,104
TWh_C,3,3,40401690.59,1690.59,42.12,105,91
TWr_RC,4,4,30301317.41,1317.41,26.52,108,94
TWh_R,6,2,20201314.46,1314.46,63.74,92,79
TWh_R,8,1,20201178.48,1178.48,38.04,100,90
TWr_R,3,1,1169.20,1169.20,48.50,88,76
TWh_RC,6,7,20201216.12,1216.12,56.90,84,74
TWh_R,2,10,30301603.81,1603.81,81.06,129,111
TWdf_C,1,7,10101940.80,1940.80,8.48,145,120
TWh_R,5,6,40401671.06,1671.06,122.54,127,105
TWr_R,8,4,10101317.52,1317.52,48.61,104,88
TWr_RC,5,4,40401737.42,1737.42,66.09,113,98
TWh_C,1,2,1214.40,1214.40,68.67,95,83
TWh_C,7,2,20201367.05,1367.05,33.68,88,75
TWr_RC,7,1,1199.34,1199.34,29.28,103,92
TWr_C,4,9,20201645.49,1645.49,61.71,154,141
TWh_R,6,7,1531.38,1531.38,40.68,143,129
TWdf_RC,7,8,10102240.22,2240.22,12.02,162,131
TWh_C,2,10,1042.44,1042.44,30.06,76,63
TWh_RC,6,10,10101215.22,1215.22,32.47,91,78
TWdf_C,3,3,20203048.71,3048.71,9.26,190,158
TWdf_R,7,4,2238.46,2238.46,8.35,163,135
TWh_R,4,4,20201167.08,1167.08,33.13,80,70
TWdf_R,5,3,1922.87,1922.87,7.02,146,120
TWr_C,3,10,60602019.53,2019.53,205.60,145,127
TWdf_C,7,7,10101980.68,1980.68,8.03,164,140
TWr_C,7,6,1373.18,1373.18,83.58,105,88
TWr_RC,1,7,20201279.50,1279.50,34.95,97,83
TWdf_R,1,1,10101859.13,1859.13,8.48,164,142
TWh_RC,4,8,1300.14,1300.14,23.34,87,75
TWh_R,4,5,20201208.75,1208.75,27.97,90,78
TWr_R,1,8,1154.78,1154.78,31.64,90,77
TWh_R,5,9,10101371.38,1371.38,31.11,125,111
TWdf_R,1,7,1966.96,1966.96,6.31,163,140
TWr_R,5,1,1092.45,1092.45,41.37,91,80
TWr_RC,5,3,30301939.94,1939.94,55.66,148,125
TWdf_R,8,6,2015.59,2015.59,8.04,150,123
TWh_RC,4,5,30301305.76,1305.76,30.78,92,80
TWh_R,8,3,10101252.14,1252.14,32.35,105,92
TWr_RC,7,9,1180.77,1180.77,29.97,87,73
TWr_C,3,1,10101125.18,1125.18,32.55,103,91
TWh_R,9,6,30301627.44,1627.44,177.12,103,86
TWdf_RC,6,1,10102126.87,2126.87,10.03,183,156
TWh_R,6,6,1299.69,1299.69,99.15,110,96
TWr_RC,5,6,20201607.79,1607.79,78.60,119,105
TWr_RC,8,2,20201360.00,1360.00,95.53,128,110
TWdf_C,2,2,50502317.56,2317.56,8.09,159,130
TWh_R,1,2,1130.43,1130.43,29.52,99,87
TWr_RC,3,6,20201303.04,1303.04,38.71,132,116
TWh_R,9,4,50501512.61,1512.61,116.72,100,89
TWdf_RC,1,8,20202223.00,2223.00,5.81,151,123
TWr_C,5,5,20201558.97,1558.97,64.30,136,120
TWdf_C,4,4,10102760.52,2760.52,8.12,143,113
TWh_R,1,7,881.74,881.74,24.60,81,72
TWh_RC,8,5,10101153.75,1153.75,43.96,88,77
TWh_C,6,1,1293.75,1293.75,41.76,98,85
TWr_C,9,1,1474.02,1474.02,48.13,114,101
TWdf_C,5,6,2247.43,2247.43,8.17,166,141
TWdf_R,2,5,20202715.24,2715.24,6.54,182,151
TWh_C,5,2,20201625.83,1625.83,91.33,103,88
TWdf_RC,9,2,2100.16,2100.16,12.15,196,163
TWh_R,2,8,40401761.90,1761.90,125.02,106,84
TWdf_RC,4,10,1627.34,1627.34,4.29,127,106
TWh_RC,8,3,30301605.83,1605.83,153.20,117,104
TWr_C,2,1,20201453.74,1453.74,31.23,107,90
TWr_C,8,4,30301571.76,1571.76,36.89,151,135
TWr_R,3,4,10101198.72,1198.72,65.90,79,68
TWh_C,7,10,10101152.27,1152.27,30.30,102,90
TWdf_C,5,7,10102457.94,2457.94,7.73,183,156
TWr_RC,9,8,10101395.59,1395.59,46.57,99,83
TWh_C,8,4,40401369.41,1369.41,50.33,105,92
TWr_C,8,7,20201397.65,1397.65,33.15,114,102
TWh_C,8,2,1152.94,1152.94,28.12,85,74
TWr_C,6,2,10101053.75,1053.75,33.47,87,74
TWh_R,4,2,10101491.67,1491.67,40.31,91,77
TWr_RC,7,10,10101589.83,1589.83,89.60,123,108
TWh_R,9,7,20201726.78,1726.78,97.10,104,90
TWdf_C,7,1,1565.45,1565.45,8.68,135,117
TWdf_RC,8,9,1759.58,1759.58,5.43,133,113
TWr_RC,4,10,953.53,953.53,19.51,72,62
TWdf_C,8,2,1967.53,1967.53,5.22,130,109
TWr_C,6,9,10101189.69,1189.69,40.23,105,92
TWr_R,4,8,40401626.25,1626.25,48.92,116,102
TWh_R,9,2,50501578.84,1578.84,181.99,93,81
TWdf_C,5,1,30301887.43,1887.43,5.62,126,103
TWdf_R,3,7,30301712.73,1712.73,6.32,121,98
TWr_RC,8,9,1061.67,1061.67,54.74,88,77
TWr_C,1,5,1179.20,1179.20,26.84,77,68
TWr_C,8,8,40401353.41,1353.41,48.65,120,107
TWdf_C,5,4,2618.40,2618.40,7.51,148,117
TWdf_C,3,10,80803291.53,3291.53,8.46,205,172
TWr_RC,2,3,10101348.62,1348.62,51.51,103,87
TWh_R,3,8,40401628.66,1628.66,54.64,131,112
TWh_RC,1,3,10101348.50,1348.50,29.65,113,101
TWdf_C,2,8,10102300.15,2300.15,4.08,117,92
TWh_R,1,5,20201206.96,1206.96,57.37,84,73
TWr_C,3,9,40401924.24,1924.24,116.34,125,107
TWr_C,2,2,50501437.25,1437.25,41.98,116,99
TWr_C,9,7,1138.90,1138.90,48.72,99,85
TWh_C,1,3,1208.00,1208.00,68.70,108,94
TWdf_R,8,9,1474.76,1474.76,4.10,121,100
TWr_R,1,9,10101280.00,1280.00,39.81,93,79
TWr_R,5,10,30301599.26,1599.26,75.54,111,95
TWr_RC,4,6,961.29,961.29,18.92,85,74
TWr_R,8,5,1157.38,1157.38,41.17,88,74
TWr_RC,7,3,10101563.98,1563.98,102.43,120,101
TWh_C,9,6,1221.59,1221.59,48.30,89,75
TWr_C,8,9,20201095.06,1095.06,26.52,81,71
TWh_RC,3,1,10101252.83,1252.83,40.14,114,103
TWdf_C,6,7,10102293.12,2293.12,7.80,158,130
TWh_C,9,10,20201282.32,1282.32,41.47,95,86
TWh_C,9,1,1633.90,1633.90,366.69,114,96
TWdf_C,6,3,2088.75,2088.75,6.12,134,109
TWr_RC,5,2,1513.24,1513.24,41.44,104,91
TWdf_C,9,5,2255.49,2255.49,10.47,163,133
TWdf_R,6,8,30301859.08,1859.08,6.53,144,118
TWh_R,6,4,10101352.31,1352.31,66.14,127,110
TWdf_C,9,3,20201506.59,1506.59,6.73,114,91
TWh_R,8,10,1183.03,1183.03,26.98,98,88
TWdf_RC,2,9,10102154.46,2154.46,6.18,127,101
TWh_RC,2,3,10101502.77,1502.77,49.50,99,84
TWdf_R,8,8,20201762.34,1762.34,9.29,174,150
TWr_C,7,4,10101131.82,1131.82,37.54,107,97
TWh_C,9,3,20201015.61,1015.61,20.07,59,53
TWr_C,6,10,20201135.31,1135.31,27.82,126,112
TWdf_C,8,3,10102176.00,2176.00,6.47,141,116
TWh_R,4,8,40401428.33,1428.33,33.96,102,89
TWr_C,5,3,10101152.00,1152.00,36.34,85,72
TWr_RC,6,5,10101159.70,1159.70,53.44,74,62
TWh_C,9,9,50501342.68,1342.68,79.02,111,98
TWh_RC,6,4,20201336.12,1336.12,78.80,99,79
TWdf_C,5,2,10102477.49,2477.49,7.20,155,129
TWh_C,7,1,1079.32,1079.32,32.17,102,89
TWdf_C,1,2,2160.00,2160.00,6.52,154,127
TWr_R,2,2,1361.90,1361.90,84.92,87,71
TWh_R,2,2,10101366.67,1366.67,57.01,93,78
TWh_RC,4,7,40401341.15,1341.15,44.72,117,103
TWh_R,8,2,1281.52,1281.52,38.16,82,68
TWh_C,8,7,20201313.88,1313.88,36.73,85,74
TWdf_R,9,9,10101986.23,1986.23,11.52,167,143
TWh_R,6,1,1166.77,1166.77,48.89,90,81
TWdf_C,5,9,30301903.54,1903.54,5.64,138,112
TWr_R,1,6,1394.78,1394.78,75.58,101,88
TWh_RC,5,1,40401707.85,1707.85,70.55,100,90
TWdf_R,5,4,10102572.34,2572.34,7.57,158,129
TWr_C,9,5,10101516.46,1516.46,38.15,93,78
TWr_R,4,6,10101106.25,1106.25,26.33,84,71
TWr_R,4,2,10101511.25,1511.25,34.29,114,100
TWr_R,7,9,40401090.55,1090.55,39.65,90,80
TWh_RC,1,8,20201377.00,1377.00,31.04,82,70
TWr_RC,9,3,10101485.35,1485.35,35.45,117,100
TWh_C,9,7,1305.37,1305.37,49.56,100,85
TWr_R,1,10,954.78,954.78,15.47,96,88
TWdf_R,2,6,10102573.33,2573.33,5.83,134,109
TWdf_R,5,10,10102831.17,2831.17,10.49,178,146
TWh_C,3,6,10101511.29,1511.29,56.07,85,75
TWr_RC,3,8,40401408.04,1408.04,21.64,110,96
TWh_R,7,4,1279.78,1279.78,30.75,82,70
TWdf_R,3,9,40402213.26,2213.26,10.87,194,167
TWdf_RC,5,7,50502758.97,2758.97,8.03,145,113
TWr_C,2,10,1154.20,1154.20,26.94,76,63
TWr_C,5,9,30301204.80,1204.80,29.20,76,65
TWh_RC,3,7,10101419.13,1419.13,33.55,81,71
TWh_C,9,8,20200910.24,910.24,34.18,84,72
TWr_C,2,7,40401410.69,1410.69,56.97,90,76
TWdf_RC,2,6,10102568.92,2568.92,7.11,153,126
TWh_RC,7,5,20201366.41,1366.41,54.27,107,93
TWr_C,8,1,20201420.24,1420.24,31.55,102,89
TWh_R,3,3,30301285.99,1285.99,45.52,102,88
TWr_RC,9,4,1455.12,1455.12,59.10,140,126
TWdf_RC,8,6,10101631.67,1631.67,6.44,141,116
TWdf_R,1,10,1782.61,1782.61,5.74,141,119
TWdf_R,6,6,1733.54,1733.54,5.83,138,116
TWr_RC,8,4,10101439.58,1439.58,56.31,109,95
TWdf_RC,4,3,20202061.15,2061.15,7.31,161,131
TWdf_R,4,3,10102168.75,2168.75,6.13,144,120
TWdf_C,4,2,30302371.16,2371.16,6.95,129,105
TWr_C,2,3,20201431.76,1431.76,41.46,126,113
TWr_R,7,3,30300991.65,991.65,18.78,85,74
TWdf_R,4,6,10101972.50,1972.50,8.03,148,120
TWdf_C,6,6,2248.12,2248.12,7.99,183,153
TWr_C,1,10,20201140.80,1140.80,46.79,105,93
TWr_C,8,10,70701753.88,1753.88,114.88,141,123
TWr_R,2,3,10101578.10,1578.10,36.58,93,79
TWdf_C,6,9,2383.12,2383.12,8.92,163,131
TWh_R,5,3,1387.98,1387.98,113.94,90,76
TWr_C,5,6,1416.00,1416.00,32.12,102,85
TWdf_RC,4,8,2086.62,2086.62,5.78,132,106
TWh_C,7,4,10101266.82,1266.82,36.26,94,83
TWdf_C,9,7,1928.41,1928.41,9.89,174,146
TWdf_RC,8,1,10102295.42,2295.42,8.20,174,144
TWdf_RC,2,5,2360.31,2360.31,7.55,144,115
TWdf_C,5,5,20202505.94,2505.94,6.13,153,126
TWr_RC,2,6,10101341.23,1341.23,31.29,92,80
TWh_R,3,10,40401513.80,1513.80,144.09,92,72
TWdf_R,8,2,1937.79,1937.79,8.03,162,134
TWdf_RC,6,6,1962.09,1962.09,8.16,157,133
TWdf_R,3,10,20202290.91,2290.91,14.28,180,151
TWr_RC,7,5,20201463.20,1463.20,60.57,105,88
TWr_RC,5,10,20201537.65,1537.65,42.46,111,99
TWdf_R,2,8,30303003.81,3003.81,8.71,180,148
TWr_RC,1,5,30301380.00,1380.00,34.69,91,79
TWh_R,9,3,20201630.48,1630.48,59.09,118,103
TWr_RC,9,2,1319.06,1319.06,44.45,113,97
TWh_R,1,3,30301227.83,1227.83,31.76,102,88
TWr_RC,4,1,20201251.80,1251.80,26.91,90,81
TWr_RC,9,6,1188.66,1188.66,23.65,83,74
TWh_RC,8,9,992.50,992.50,33.51,77,66
TWdf_C,7,2,20202065.23,2065.23,10.72,158,133
TWdf_R,1,9,10102318.26,2318.26,9.38,178,148
TWdf_C,2,7,40402345.95,2345.95,7.13,151,125
TWr_RC,8,5,10101179.17,1179.17,64.88,86,73
TWh_RC,7,4,1345.86,1345.86,81.12,92,80
TWr_R,8,1,20201144.55,1144.55,36.29,122,109
TWr_C,3,6,10101454.82,1454.82,41.32,95,86
TWh_RC,5,3,40401763.21,1763.21,82.41,113,100
TWdf_RC,8,3,20202658.75,2658.75,15.71,190,159
TWr_RC,4,5,20201351.94,1351.94,22.54,88,74
TWdf_C,3,8,20202671.76,2671.76,7.17,161,130
TWh_R,1,9,20201434.78,1434.78,90.17,126,110
TWr_C,3,7,10101531.06,1531.06,32.40,99,83
TWr_R,1,2,1121.74,1121.74,27.32,95,82
TWdf_RC,9,1,2253.23,2253.23,8.76,147,117
TWh_RC,5,6,20201831.29,1831.29,163.85,142,121
TWdf_C,6,5,20201725.00,1725.00,8.88,137,113
TWdf_C,1,6,2190.40,2190.40,9.94,193,162
TWdf_C,7,5,10102205.00,2205.00,6.03,138,113
TWh_RC,6,6,1243.88,1243.88,50.74,96,86
TWh_C,7,3,30301401.82,1401.82,57.77,106,92
TWr_R,4,5,20201337.08,1337.08,59.79,98,85
TWh_C,1,4,1009.60,1009.60,27.31,79,65
TWdf_RC,4,9,30302785.90,2785.90,8.79,193,160
TWdf_RC,5,8,40402630.37,2630.37,5.95,151,120
TWdf_R,8,4,10101967.17,1967.17,6.84,133,106
TWh_C,7,5,20201495.23,1495.23,43.04,92,79
TWr_R,3,6,10101352.09,1352.09,36.04,88,73
TWh_R,6,8,30300987.69,987.69,24.19,83,70
TWdf_C,1,5,2072.00,2072.00,6.32,156,129
TWdf_C,1,3,1974.40,1974.40,6.78,147,125
TWdf_C,8,4,30302468.24,2468.24,7.58,149,124
TWh_C,5,9,30301243.89,1243.89,28.95,110,98
TWdf_RC,5,9,20202555.76,2555.76,7.63,183,151
TWr_C,4,10,30301649.10,1649.10,46.14,114,97
TWdf_RC,6,4,20201963.88,1963.88,11.13,147,119
TWdf_RC,3,5,1731.52,1731.52,5.10,121,97
TWdf_R,5,5,2264.68,2264.68,10.68,180,150
TWh_R,8,9,983.59,983.59,25.08,95,83
TWh_RC,2,1,30301172.31,1172.31,16.42,74,64
TWdf_C,9,2,20202474.63,2474.63,7.36,144,115
TWdf_C,5,10,10101802.06,1802.06,5.61,147,125
TWdf_C,8,9,20202020.24,2020.24,4.54,151,125
TWh_R,7,6,10101339.12,1339.12,31.01,112,98
TWdf_R,6,9,2115.69,2115.69,9.00,154,126
TWh_R,5,2,1241.17,1241.17,36.61,91,77
TWr_RC,6,9,10100977.91,977.91,28.40,78,66
TWh_RC,6,8,20201381.79,1381.79,43.16,115,99
TWr_C,6,3,1452.19,1452.19,51.86,123,108
TWdf_C,4,7,20202197.08,2197.08,6.30,122,93
TWh_C,8,5,20201488.94,1488.94,25.98,82,67
TWh_RC,4,6,960.86,960.86,15.62,71,63
TWr_R,7,8,20201736.04,1736.04,154.36,107,89
TWdf_C,6,2,10101797.19,1797.19,5.10,113,89
TWr_C,5,10,20201407.09,1407.09,55.71,117,95
TWr_C,8,2,1263.06,1263.06,36.32,109,91
TWh_C,1,7,10101396.80,1396.80,58.57,86,70
TWdf_R,8,7,2590.76,2590.76,11.79,205,172
TWdf_RC,2,3,10102269.85,2269.85,7.97,185,161
TWr_R,2,5,20201498.10,1498.10,29.70,116,101
TWdf_R,9,10,10102321.62,2321.62,9.87,168,139
TWr_RC,7,2,30301125.75,1125.75,33.91,98,86
TWh_C,3,8,10101419.53,1419.53,21.76,82,69
TWh_RC,4,1,20201436.98,1436.98,35.25,104,90
TWr_RC,4,9,30301518.56,1518.56,45.87,126,113
TWh_C,2,2,50501494.96,1494.96,54.11,125,111
TWdf_C,1,1,10102312.00,2312.00,8.05,176,149
TWdf_R,6,3,20202355.69,2355.69,9.22,174,143
TWh_RC,5,9,20201498.11,1498.11,39.34,112,97
TWh_RC,1,5,40401198.50,1198.50,34.43,97,87
TWr_RC,6,6,1397.01,1397.01,44.91,121,106
TWh_C,7,8,10101440.00,1440.00,29.94,94,80
TWdf_RC,7,4,1959.12,1959.12,7.20,151,126
TWr_C,4,4,40401484.29,1484.29,50.06,112,98
TWdf_R,7,6,10101983.30,1983.30,5.15,120,95
TWh_R,1,6,20201469.57,1469.57,309.26,106,94
TWr_R,3,7,30301115.29,1115.29,31.84,73,62
TWdf_RC,1,1,20202547.00,2547.00,7.56,173,147
TWh_C,8,9,20201187.76,1187.76,25.68,108,95
TWr_R,5,7,10100954.26,954.26,22.09,67,59
TWdf_R,5,9,10102064.57,2064.57,5.75,143,117
TWdf_R,2,1,20202291.43,2291.43,6.93,156,131
TWr_R,4,3,10101255.42,1255.42,43.25,88,75
TWh_RC,5,5,40401592.32,1592.32,33.77,101,85
TWr_R,5,2,1157.55,1157.55,30.67,99,85
TWr_RC,3,5,1030.43,1030.43,30.79,86,74
TWr_R,6,10,10101290.46,1290.46,46.62,99,87
TWdf_RC,1,10,10102554.50,2554.50,7.92,165,138
TWh_RC,7,9,1059.45,1059.45,33.84,84,73
TWh_RC,3,10,1170.65,1170.65,39.19,78,69
TWr_R,6,7,1281.23,1281.23,25.44,79,66
TWr_R,9,10,10101402.94,1402.94,50.34,107,95
TWr_R,3,2,10101356.58,1356.58,27.78,101,87
TWr_RC,6,2,20201028.96,1028.96,25.01,95,85
TWr_RC,2,7,10101378.15,1378.15,36.06,106,93
TWdf_R,7,2,10102658.46,2658.46,9.90,177,143
TWh_R,8,5,1317.10,1317.10,28.61,85,71
TWr_C,5,4,20201418.06,1418.06,60.49,98,79
TWr_RC,6,8,20201525.07,1525.07,31.10,130,117
TWdf_RC,7,10,10102677.13,2677.13,11.44,173,144
TWr_RC,4,7,30301471.51,1471.51,45.78,118,104
TWdf_RC,1,6,10102451.00,2451.00,6.04,142,115
TWr_C,7,3,20201223.18,1223.18,43.87,127,111
TWh_RC,3,2,30301140.00,1140.00,25.27,120,109
TWr_R,2,6,10101490.48,1490.48,60.76,98,84
TWh_RC,3,3,50501810.43,1810.43,163.29,108,93
TWr_C,6,7,20201437.19,1437.19,50.15,106,93
TWh_RC,2,6,10101344.92,1344.92,34.93,86,74
TWr_RC,3,9,10101233.26,1233.26,42.48,119,103
TWr_R,4,9,1351.25,1351.25,35.83,93,81
TWh_RC,9,1,10101256.38,1256.38,48.87,93,78
TWr_C,7,9,20201361.59,1361.59,84.12,94,84
TWh_R,7,5,50501670.11,1670.11,112.75,106,91
TWr_RC,9,7,10101339.21,1339.21,99.49,142,123
TWr_R,7,2,30301459.12,1459.12,44.15,92,78
TWr_C,9,4,1375.24,1375.24,60.75,128,112
TWdf_RC,3,8,30302206.96,2206.96,4.26,142,117
TWr_R,7,7,1425.49,1425.49,45.90,115,100
TWh_RC,1,4,20201572.00,1572.00,56.17,88,74
TWh_C,6,3,40401193.44,1193.44,42.10,102,87
TWr_R,6,1,1084.62,1084.62,29.00,80,70
TWdf_R,2,2,2027.62,2027.62,8.22,150,127
TWr_R,8,8,20201058.07,1058.07,47.28,104,92
TWdf_RC,8,8,10102472.92,2472.92,9.73,175,139
TWr_C,4,3,10101727.38,1727.38,34.99,132,115
TWdf_C,6,8,10101761.56,1761.56,8.39,154,128
TWr_C,4,8,1545.06,1545.06,79.81,131,115
TWr_C,3,3,60601541.65,1541.65,88.76,95,80
TWr_R,2,8,30301856.19,1856.19,98.46,144,122
TWdf_C,1,10,20202032.00,2032.00,11.26,173,147
TWh_RC,9,5,40401530.39,1530.39,123.41,142,128
TWh_C,5,10,10101029.26,1029.26,33.82,84,73
TWh_C,4,8,20201340.09,1340.09,114.28,99,79
TWr_RC,3,7,10101518.26,1518.26,47.21,141,129
TWh_RC,3,5,1160.22,1160.22,20.20,67,56
TWh_R,5,5,1539.26,1539.26,50.60,129,111
TWh_C,2,6,10101185.34,1185.34,48.11,94,82
TWh_RC,9,3,20201266.14,1266.14,28.09,86,73
TWdf_C,9,10,2305.24,2305.24,6.93,151,124
TWr_RC,8,10,10101405.00,1405.00,62.04,107,95
TWr_C,6,6,1416.56,1416.56,35.53,116,101
TWh_R,4,1,30301455.83,1455.83,41.18,105,92
TWdf_RC,3,3,30303095.87,3095.87,13.60,256,220
TWdf_RC,9,4,2243.78,2243.78,12.13,167,140
TWdf_RC,4,1,10102482.45,2482.45,8.63,186,155
TWdf_R,8,5,1928.28,1928.28,11.67,159,133
TWh_RC,2,4,1530.46,1530.46,38.98,94,78
TWdf_C,2,5,10102518.17,2518.17,6.61,131,107
TWr_C,2,9,20201751.45,1751.45,52.91,120,105
TWdf_C,5,8,20202466.86,2466.86,6.68,150,124
TWdf_C,8,5,10102644.24,2644.24,5.87,149,118
