problem_type,problem_number,instance,cost,dist,time,events,skipped
TWdf_RC,9,7,10102143.31,2143.31,11.54,199,168
TWr_C,1,8,20201364.80,1364.80,42.12,98,84
TWr_RC,1,8,30301357.50,1357.50,95.76,104,87
TWr_R,8,9,931.45,931.45,19.19,81,70
TWdf_R,7,9,40401936.48,1936.48,6.20,131,106
TWdf_RC,6,3,10102502.09,2502.09,6.59,161,135
TWr_C,7,7,10101300.23,1300.23,38.95,88,76
TWdf_R,7,1,2695.38,2695.38,9.31,173,139
TWdf_RC,3,1,2073.26,2073.26,4.62,136,109
TWr_C,3,5,40401817.65,1817.65,130.42,167,148
TWr_R,3,10,20201452.19,1452.19,83.75,122,108
TWdf_RC,5,5,30302670.95,2670.95,4.77,146,121
TWr_RC,4,3,20201183.17,1183.17,33.58,80,67
TWdf_R,7,3,30301699.78,1699.78,2.80,108,88
TWh_C,5,6,1298.74,1298.74,58.63,85,76
TWh_R,4,6,10101222.92,1222.92,36.28,95,82
TWr_R,1,1,10101182.61,1182.61,44.34,102,91
TWr_R,8,3,10101378.34,1378.34,23.31,80,69
TWr_C,6,5,20201197.19,1197.19,43.73,121,111
TWdf_R,3,6,2208.77,2208.77,6.77,152,127
TWdf_R,3,2,10102010.48,2010.48,7.67,146,120
TWh_RC,9,4,1346.46,1346.46,57.33,114,99
TWr_R,6,4,10101244.31,1244.31,32.17,83,72
TWr_RC,7,6,20201320.66,1320.66,39.50,99,86
TWdf_R,8,1,20202177.79,2177.79,9.24,188,161
TWr_R,5,6,30301639.15,1639.15,71.74,101,89
TWh_R,7,2,40401562.64,1562.64,85.90,115,100
TWh_R,6,9,1222.15,1222.15,43.00,87,76
TWh_RC,2,5,20201438.15,1438.15,46.26,102,85
TWr_R,5,5,1451.49,1451.49,57.62,102,90
TWr_C,8,3,20201431.53,1431.53,45.48,113,99
TWr_RC,3,4,30301454.35,1454.35,68.86,98,83
TWh_R,7,3,30301067.47,1067.47,14.99,82,72
TWh_R,2,6,10101783.81,1783.81,68.22,148,134
TWh_RC,2,8,1049.54,1049.54,37.15,96,85
TWh_C,3,2,70701733.65,1733.65,46.44,123,104
TWdf_RC,1,7,2542.50,2542.50,6.58,166,137
TWdf_RC,6,2,20201840.30,1840.30,5.18,136,113
TWh_RC,3,9,10101203.26,1203.26,39.08,108,93
TWdf_R,9,8,20202270.28,2270.28,7.98,164,137
TWr_R,9,5,20201291.44,1291.44,36.41,118,103
TWh_RC,6,1,10101345.07,1345.07,86.72,93,78
TWr_RC,6,1,10101286.87,1286.87,61.44,105,91
TWh_R,7,7,10101782.20,1782.20,47.55,137,124
